id	topic_id	thread_id	type	formula
q_11	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><ci>𝑤</ci><apply><times/><ci>𝑠</ci><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑒</ci><apply><times/><ci>𝑖</ci><ci>italic-ϕ</ci></apply></apply></apply></apply></math>"
q_12	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><geq/><ci>𝑠</ci><cn type=""integer"">0</cn></apply></math>"
q_13	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><in/><ci>italic-ϕ</ci><ci>ℝ</ci></apply></math>"
q_14	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑧</ci><ci>𝑛</ci></apply><ci>𝑤</ci></apply></math>"
q_15	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>ℂ</ci></math>"
q_16	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑛</ci></math>"
q_17	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑛</ci></math>"
q_18	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑛</ci></math>"
q_19	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑛</ci></math>"
q_20	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><list><ci>𝑥</ci><ci>𝑦</ci></list></math>"
q_21	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><interval closure=""closed""><ci>𝑥</ci><ci>𝑦</ci></interval><ci>𝑥</ci></apply></math>"
q_22	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝐾</ci></math>"
q_23	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝐾</ci></math>"
q_24	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><ci>:</ci><csymbol cd=""latexml"">absent</csymbol><apply><ci>→</ci><apply><times/><ci>𝑉</ci><ci>𝑋</ci><ci>𝑉</ci></apply><ci>𝑉</ci></apply></apply></math>"
q_25	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><cerror><csymbol cd=""ambiguous"">fragments</csymbol><csymbol cd=""unknown"">a</csymbol><ci>)</ci></cerror></math>"
q_26	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><interval closure=""closed""><ci>𝑥</ci><ci>𝑥</ci></interval><cn type=""integer"">0</cn></apply></math>"
q_27	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><in/><ci>𝑥</ci><ci>𝑉</ci></apply></math>"
q_28	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><cerror><csymbol cd=""ambiguous"">fragments</csymbol><csymbol cd=""unknown"">b</csymbol><ci>)</ci></cerror></math>"
q_29	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><plus/><interval closure=""closed""><ci>𝑥</ci><interval closure=""closed""><ci>𝑦</ci><ci>𝑧</ci></interval></interval><interval closure=""closed""><ci>𝑦</ci><interval closure=""closed""><ci>𝑧</ci><ci>𝑥</ci></interval></interval><interval closure=""closed""><ci>𝑧</ci><interval closure=""closed""><ci>𝑥</ci><ci>𝑦</ci></interval></interval></apply><cn type=""integer"">0</cn></apply></math>"
q_30	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><in/><list><ci>𝑥</ci><ci>𝑦</ci><ci>𝑧</ci></list><ci>𝑉</ci></apply></math>"
q_31	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><and/><apply><eq/><interval closure=""closed""><ci>𝑥</ci><ci>𝑥</ci></interval><interval closure=""closed""><ci>𝑦</ci><ci>𝑦</ci></interval></apply><apply><eq/><cn type=""integer"">0</cn></apply></apply></math>"
q_32	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><interval closure=""closed""><ci>𝑥</ci><ci>𝑦</ci></interval><apply><minus/><interval closure=""closed""><ci>𝑥</ci><ci>𝑦</ci></interval></apply></apply></math>"
q_33	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><interval closure=""closed""><ci>𝑥</ci><ci>𝑦</ci></interval></math>"
q_34	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><interval closure=""closed""><ci>𝑥</ci><ci>𝑦</ci></interval><ci>𝑥</ci></apply></math>"
q_35	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><interval closure=""closed""><ci>𝑦</ci><ci>𝑥</ci></interval><apply><minus/><ci>𝑥</ci></apply></apply></math>"
q_36	A.304	4226422	title	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><cn type=""integer"">2</cn></math>"
q_37	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><subset/><interval closure=""closed""><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><csymbol cd=""ambiguous"">subscript</csymbol><ci>𝑇</ci><ci>𝑋</ci></apply><list><cn type=""integer"">0</cn><cn type=""integer"">1</cn></list></apply><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><csymbol cd=""ambiguous"">subscript</csymbol><ci>𝑇</ci><ci>𝑋</ci></apply><list><cn type=""integer"">0</cn><cn type=""integer"">1</cn></list></apply></interval><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><csymbol cd=""ambiguous"">subscript</csymbol><ci>𝑇</ci><ci>𝑋</ci></apply><list><cn type=""integer"">0</cn><cn type=""integer"">1</cn></list></apply></apply></math>"
q_38	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑋</ci></math>"
q_39	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑋</ci></math>"
q_40	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><csymbol cd=""ambiguous"">subscript</csymbol><ci>𝑇</ci><ci>𝑋</ci></apply><list><cn type=""integer"">0</cn><cn type=""integer"">1</cn></list></apply></math>"
q_41	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><cn type=""integer"">1</cn></math>"
q_42	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><interval closure=""closed""><minus/><minus/></interval></math>"
q_43	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><csymbol cd=""ambiguous"">subscript</csymbol><ci>𝑇</ci><ci>𝑋</ci></apply><list><cn type=""integer"">0</cn><cn type=""integer"">1</cn></list></apply></math>"
q_44	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑋</ci></math>"
q_45	A.305	4223841	title	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><apply><csymbol cd=""ambiguous"">subscript</csymbol><limit/><apply><ci>→</ci><ci>𝑁</ci><infinity/></apply></apply><apply><floor/><apply><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><csymbol cd=""ambiguous"">subscript</csymbol><sum/><apply><eq/><ci>𝑟</ci><cn type=""integer"">1</cn></apply></apply><ci>𝑁</ci></apply><apply><divide/><cn type=""integer"">1</cn><apply><csymbol cd=""ambiguous"">superscript</csymbol><cn type=""integer"">2</cn><ci>𝑟</ci></apply></apply></apply></apply></apply></math>"
q_46	A.305	4223841	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><apply><csymbol cd=""ambiguous"">subscript</csymbol><limit/><apply><ci>→</ci><ci>𝑁</ci><infinity/></apply></apply><apply><floor/><apply><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><csymbol cd=""ambiguous"">subscript</csymbol><sum/><apply><eq/><ci>𝑟</ci><cn type=""integer"">1</cn></apply></apply><ci>𝑁</ci></apply><apply><divide/><cn type=""integer"">1</cn><apply><csymbol cd=""ambiguous"">superscript</csymbol><cn type=""integer"">2</cn><ci>𝑟</ci></apply></apply></apply></apply></apply></math>"
q_47	A.305	4223841	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><cn type=""integer"">1</cn></math>"
q_48	A.305	4223841	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><cn type=""integer"">0</cn></math>"
q_49	A.305	4223841	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><divide/><ci>𝑎</ci><apply><minus/><cn type=""integer"">1</cn><ci>𝑟</ci></apply></apply></math>"
q_50	A.305	4223841	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><csymbol cd=""ambiguous"">subscript</csymbol><limit/><apply><ci>→</ci><ci>𝑁</ci><infinity/></apply></apply></math>"
q_51	A.306	4220206	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><ci>𝐵</ci><apply><plus/><ci>𝛾</ci><apply><apply><csymbol cd=""ambiguous"">subscript</csymbol><sum/><ci>𝑝</ci></apply><set><apply><plus/><apply><log/><apply><minus/><cn type=""integer"">1</cn><apply><divide/><cn type=""integer"">1</cn><ci>𝑝</ci></apply></apply></apply><apply><divide/><cn type=""integer"">1</cn><ci>𝑝</ci></apply></apply></set></apply></apply></apply></math>"
q_52	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑛</ci></math>"
q_53	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑡</ci></math>"
q_54	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><equivalent/><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑎</ci><ci>𝑡</ci></apply><apply><csymbol cd=""latexml"">annotated</csymbol><cn type=""integer"">1</cn><apply><ci>pmod</ci><ci>𝑛</ci></apply></apply></apply></math>"
q_55	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑎</ci></math>"
q_56	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><gcd/><ci>𝑎</ci><ci>𝑛</ci></apply><cn type=""integer"">1</cn></apply></math>"
q_57	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><times/><ci>𝜆</ci><ci>𝑛</ci></apply></math>"
q_58	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><times/><ci>𝜆</ci><ci>𝑛</ci></apply><apply><max/><apply><ci>:</ci><apply><apply><csymbol cd=""ambiguous"">subscript</csymbol><ci>ord</ci><ci>𝑛</ci></apply><ci>𝑎</ci></apply><apply><eq/><apply><gcd/><ci>𝑎</ci><ci>𝑛</ci></apply><cn type=""integer"">1</cn></apply></apply></apply></apply></math>"
q_59	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑥</ci></math>"
q_60	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑛</ci></math>"
q_61	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><apply><csymbol cd=""ambiguous"">subscript</csymbol><ci>ord</ci><ci>𝑛</ci></apply><ci>𝑥</ci></apply><apply><times/><ci>𝜆</ci><ci>𝑛</ci></apply></apply></math>"
q_62	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><and/><apply><eq/><apply><times/><ci>𝜁</ci><ci>𝑠</ci></apply><apply><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><csymbol cd=""ambiguous"">subscript</csymbol><sum/><apply><eq/><ci>𝑛</ci><cn type=""integer"">1</cn></apply></apply><infinity/></apply><apply><divide/><cn type=""integer"">1</cn><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑛</ci><ci>𝑠</ci></apply></apply></apply></apply><apply><eq/><apply><times/><apply><divide/><cn type=""integer"">1</cn><apply><times/><ci>Γ</ci><ci>𝑠</ci></apply></apply><apply><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><csymbol cd=""ambiguous"">subscript</csymbol><int/><cn type=""integer"">0</cn></apply><infinity/></apply><apply><times/><apply><divide/><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑥</ci><apply><minus/><ci>𝑠</ci><cn type=""integer"">1</cn></apply></apply><apply><minus/><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑒</ci><ci>𝑥</ci></apply><cn type=""integer"">1</cn></apply></apply><apply><csymbol cd=""latexml"">differential-d</csymbol><ci>𝑥</ci></apply></apply></apply></apply></apply></apply></math>"
q_63	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><times/><ci>𝜁</ci><ci>𝑠</ci></apply><apply><times/><apply><divide/><apply><times/><ci>Γ</ci><apply><minus/><cn type=""integer"">1</cn><ci>𝑠</ci></apply></apply><apply><times/><cn type=""integer"">2</cn><ci>𝜋</ci><ci>𝑖</ci></apply></apply><apply><apply><csymbol cd=""ambiguous"">subscript</csymbol><int/><ci>𝐶</ci></apply><apply><times/><apply><divide/><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><minus/><ci>𝑧</ci></apply><ci>𝑠</ci></apply><apply><minus/><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑒</ci><ci>𝑧</ci></apply><cn type=""integer"">1</cn></apply></apply><apply><divide/><apply><times/><ci>𝑑</ci><ci>𝑧</ci></apply><ci>𝑧</ci></apply></apply></apply></apply></apply></math>"
q_64	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><apply><csymbol cd=""ambiguous"">subscript</csymbol><int/><ci>𝐶</ci></apply><apply><times/><apply><divide/><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><minus/><ci>𝑧</ci></apply><ci>𝑠</ci></apply><apply><minus/><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑒</ci><ci>𝑧</ci></apply><cn type=""integer"">1</cn></apply></apply><apply><divide/><apply><times/><ci>𝑑</ci><ci>𝑧</ci></apply><ci>𝑧</ci></apply></apply></apply></math>"
q_65	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><times/><apply><minus/><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑒</ci><apply><times/><ci>𝑖</ci><ci>𝜋</ci><ci>𝑠</ci></apply></apply><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑒</ci><apply><minus/><apply><times/><ci>𝑖</ci><ci>𝜋</ci><ci>𝑠</ci></apply></apply></apply></apply><apply><apply><csymbol cd=""ambiguous"">superscript</csymbol><apply><csymbol cd=""ambiguous"">subscript</csymbol><int/><cn type=""integer"">0</cn></apply><infinity/></apply><apply><times/><apply><divide/><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑥</ci><apply><minus/><ci>𝑠</ci><cn type=""integer"">1</cn></apply></apply><apply><minus/><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑒</ci><ci>𝑥</ci></apply><cn type=""integer"">1</cn></apply></apply><apply><csymbol cd=""latexml"">differential-d</csymbol><ci>𝑥</ci></apply></apply></apply></apply></math>"
q_66	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><times/><ci><mtext>Re</mtext></ci><ci>𝑠</ci><ci><merror class=""ltx_ERROR undefined undefined""><mtext>\gt</mtext></merror></ci><cn type=""integer"">1</cn></apply></math>"
q_67	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑠</ci></math>"
q_68	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><ci>𝑠</ci><cn type=""integer"">1</cn></apply></math>"
q_69	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝐶</ci></math>"
q_70	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><plus/><infinity/></apply></math>"
q_71	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>italic-ϵ</ci></math>"
q_72	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑥</ci></math>"
q_73	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝛿</ci></math>"
q_74	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><plus/><infinity/></apply></math>"
q_75	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>italic-ϵ</ci></math>"
q_76	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><ci>→</ci><ci>italic-ϵ</ci><cn type=""integer"">0</cn></apply></math>"
q_77	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><ci>→</ci><ci>𝛿</ci><cn type=""integer"">0</cn></apply></math>"
q_78	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><interval closure=""closed-open""><cn type=""integer"">0</cn><infinity/></interval></math>"
q_79	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><leq/><apply><times/><ci><mtext>Re</mtext></ci><ci>𝑠</ci></apply><cn type=""integer"">1</cn></apply></math>"
q_80	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝐶</ci></math>"
q_81	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑠</ci></math>"
q_82	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><ci>𝑠</ci><cn type=""integer"">0</cn></apply></math>"
q_83	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑥</ci></math>"
q_84	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝐶</ci></math>"
q_85	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>italic-ϵ</ci></math>"
q_86	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝛿</ci></math>"
q_87	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><plus/><ci>𝑅</ci><apply><times/><ci>𝑖</ci><ci>italic-ϵ</ci></apply></apply></math>"
q_88	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><minus/><ci>𝑅</ci><apply><times/><ci>𝑖</ci><ci>italic-ϵ</ci></apply></apply></math>"
q_89	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑅</ci></math>"
q_90	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>italic-ϵ</ci></math>"
q_91	A.309	4212480	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><csymbol cd=""ambiguous"">subscript</csymbol><ci>𝔽</ci><ci>𝑝</ci></apply></math>"
q_92	A.309	4212480	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑥</ci><cn type=""integer"">3</cn></apply><ci>𝑎</ci></apply></math>"
q_93	A.309	4212480	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><csymbol cd=""ambiguous"">subscript</csymbol><ci>𝔽</ci><ci>𝑝</ci></apply></math>"
q_94	A.309	4212480	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑝</ci></math>"
q_95	A.309	4212480	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><equivalent/><ci>𝑝</ci><apply><times/><cn type=""integer"">2</cn><apply><times/><ci><mtext>mod </mtext></ci><cn type=""integer"">3</cn></apply></apply></apply></math>"
q_96	A.309	4212480	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><csymbol cd=""ambiguous"">subscript</csymbol><ci>𝔽</ci><ci>𝑝</ci></apply></math>"
q_97	A.309	4212480	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><in/><ci>𝑎</ci><apply><csymbol cd=""ambiguous"">subscript</csymbol><ci>𝔽</ci><ci>𝑝</ci></apply></apply></math>"
q_98	A.309	4212480	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><gcd/><cn type=""integer"">3</cn><apply><minus/><ci>𝑝</ci><cn type=""integer"">1</cn></apply></apply><cn type=""integer"">1</cn></apply></math>"
q_99	A.310	4202380	title	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><plus/><apply><divide/><cn type=""integer"">4</cn><ci>𝑥</ci></apply><apply><divide/><cn type=""integer"">10</cn><ci>𝑦</ci></apply></apply><cn type=""integer"">1</cn></apply></math>"
q_100	A.310	4202380	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><plus/><apply><divide/><cn type=""integer"">4</cn><ci>𝑥</ci></apply><apply><divide/><cn type=""integer"">10</cn><ci>𝑦</ci></apply></apply><cn type=""integer"">1</cn></apply></math>"
q_101	A.311	4199950	title	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><times/><ci>𝑓</ci><ci>𝑥</ci></apply><apply><divide/><apply><csymbol cd=""ambiguous"">superscript</csymbol><cn type=""integer"">9</cn><ci>𝑥</ci></apply><apply><plus/><apply><csymbol cd=""ambiguous"">superscript</csymbol><cn type=""integer"">9</cn><ci>𝑥</ci></apply><cn type=""integer"">3</cn></apply></apply></apply></math>"
