id	topic_id	thread_id	type	opt
q_13	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""10^{-10}"" display=""block"">   <apply>     <csymbol cd=""ambiguous"">superscript</csymbol>     <cn type=""integer"">10</cn>     <apply>       <minus/>       <cn type=""integer"">10</cn>     </apply>   </apply> </math> "
q_14	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\sqrt{5}"" display=""block"">   <apply>     <root/>     <cn type=""integer"">5</cn>   </apply> </math> "
q_15	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x"" display=""block"">   <ci>𝑥</ci> </math> "
q_16	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(x)"" display=""block"">   <apply>     <times/>     <ci>𝑓</ci>     <ci>𝑥</ci>   </apply> </math> "
q_17	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""a"" display=""block"">   <ci>𝑎</ci> </math> "
q_18	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""b"" display=""block"">   <ci>𝑏</ci> </math> "
q_19	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[a,b]"" display=""block"">   <interval closure=""closed"">     <ci>𝑎</ci>     <ci>𝑏</ci>   </interval> </math> "
q_20	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(a)"" display=""block"">   <apply>     <times/>     <ci>𝑓</ci>     <ci>𝑎</ci>   </apply> </math> "
q_21	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(b)"" display=""block"">   <apply>     <times/>     <ci>𝑓</ci>     <ci>𝑏</ci>   </apply> </math> "
q_22	A.4	3083227	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\sum_{k=0}^{n}\binom{n}{k}k"" display=""block"">   <apply>     <apply>       <csymbol cd=""ambiguous"">superscript</csymbol>       <apply>         <csymbol cd=""ambiguous"">subscript</csymbol>         <sum/>         <apply>           <eq/>           <ci>𝑘</ci>           <cn type=""integer"">0</cn>         </apply>       </apply>       <ci>𝑛</ci>     </apply>     <apply>       <times/>       <mtext>\binom</mtext>       <ci>𝑛</ci>       <ci>𝑘</ci>       <ci>𝑘</ci>     </apply>   </apply> </math> "
q_23	A.4	3083227	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""n2^{n-1}"" display=""block"">   <apply>     <times/>     <ci>𝑛</ci>     <apply>       <csymbol cd=""ambiguous"">superscript</csymbol>       <cn type=""integer"">2</cn>       <apply>         <minus/>         <ci>𝑛</ci>         <cn type=""integer"">1</cn>       </apply>     </apply>   </apply> </math> "
q_24	A.5	3111785	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""P((2)|(1))=\frac{P((2)\cap(1))}{P((1))}=\frac{P((2))P((1))}{P((1))}=P((2))"" display=""block"">   <cerror>     <csymbol cd=""ambiguous"">fragments</csymbol>     <csymbol cd=""unknown"">P</csymbol>     <cerror>       <csymbol cd=""ambiguous"">fragments</csymbol>       <ci>(</ci>       <cerror>         <csymbol cd=""ambiguous"">fragments</csymbol>         <ci>(</ci>         <cn type=""integer"">2</cn>         <ci>)</ci>       </cerror>       <ci>|</ci>       <cerror>         <csymbol cd=""ambiguous"">fragments</csymbol>         <ci>(</ci>         <cn type=""integer"">1</cn>         <ci>)</ci>       </cerror>       <ci>)</ci>     </cerror>     <eq/>     <apply>       <divide/>       <apply>         <times/>         <ci>𝑃</ci>         <apply>           <intersect/>           <cn type=""integer"">2</cn>           <cn type=""integer"">1</cn>         </apply>       </apply>       <apply>         <times/>         <ci>𝑃</ci>         <cn type=""integer"">1</cn>       </apply>     </apply>     <eq/>     <apply>       <divide/>       <apply>         <times/>         <ci>𝑃</ci>         <cn type=""integer"">2</cn>         <ci>𝑃</ci>         <cn type=""integer"">1</cn>       </apply>       <apply>         <times/>         <ci>𝑃</ci>         <cn type=""integer"">1</cn>       </apply>     </apply>     <eq/>     <csymbol cd=""unknown"">P</csymbol>     <cerror>       <csymbol cd=""ambiguous"">fragments</csymbol>       <ci>(</ci>       <cerror>         <csymbol cd=""ambiguous"">fragments</csymbol>         <ci>(</ci>         <cn type=""integer"">2</cn>         <ci>)</ci>       </cerror>       <ci>)</ci>     </cerror>   </cerror> </math> "
q_25	A.6	3116896	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""5^{133}\mod 8."" display=""block"">   <apply>     <times/>     <apply>       <csymbol cd=""ambiguous"">superscript</csymbol>       <cn type=""integer"">5</cn>       <cn type=""integer"">133</cn>     </apply>     <mtext>\mod</mtext>     <cn type=""integer"">8</cn>   </apply> </math> "
q_26	A.6	3116896	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""5^{n}\mod 8=5"" display=""block"">   <apply>     <eq/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <cn type=""integer"">5</cn>         <ci>𝑛</ci>       </apply>       <mtext>\mod</mtext>       <cn type=""integer"">8</cn>     </apply>     <cn type=""integer"">5</cn>   </apply> </math> "
q_27	A.6	3116896	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""n"" display=""block"">   <ci>𝑛</ci> </math> "
q_28	A.6	3116896	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""5^{133}\mod 8=5"" display=""block"">   <apply>     <eq/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <cn type=""integer"">5</cn>         <cn type=""integer"">133</cn>       </apply>       <mtext>\mod</mtext>       <cn type=""integer"">8</cn>     </apply>     <cn type=""integer"">5</cn>   </apply> </math> "
q_29	A.7	3122632	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\frac{11^{\text}{10}-1}{100}"" display=""block"">   <apply>     <divide/>     <apply>       <minus/>       <apply>         <times/>         <apply>           <csymbol cd=""ambiguous"">superscript</csymbol>           <cn type=""integer"">11</cn>           <mtext>\text</mtext>         </apply>         <cn type=""integer"">10</cn>       </apply>       <cn type=""integer"">1</cn>     </apply>     <cn type=""integer"">100</cn>   </apply> </math> "
q_30	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{10}-1"" display=""block"">   <apply>     <minus/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <cn type=""integer"">11</cn>         <mtext>\text</mtext>       </apply>       <cn type=""integer"">10</cn>     </apply>     <cn type=""integer"">1</cn>   </apply> </math> "
q_31	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""100"" display=""block"">   <cn type=""integer"">100</cn> </math> "
q_32	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x"" display=""block"">   <ci>𝑥</ci> </math> "
q_33	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{10}-1=x\pmod{100}"" display=""block"">   <apply>     <eq/>     <apply>       <minus/>       <apply>         <times/>         <apply>           <csymbol cd=""ambiguous"">superscript</csymbol>           <cn type=""integer"">11</cn>           <mtext>\text</mtext>         </apply>         <cn type=""integer"">10</cn>       </apply>       <cn type=""integer"">1</cn>     </apply>     <apply>       <csymbol cd=""latexml"">annotated</csymbol>       <ci>𝑥</ci>       <apply>         <ci>pmod</ci>         <cn type=""integer"">100</cn>       </apply>     </apply>   </apply> </math> "
q_34	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{2}\equiv 21\pmod{100}"" display=""block"">   <apply>     <equivalent/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <cn type=""integer"">11</cn>         <mtext>\text</mtext>       </apply>       <cn type=""integer"">2</cn>     </apply>     <apply>       <csymbol cd=""latexml"">annotated</csymbol>       <cn type=""integer"">21</cn>       <apply>         <ci>pmod</ci>         <cn type=""integer"">100</cn>       </apply>     </apply>   </apply> </math> "
q_35	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""(11^{\text}{2})^{\text}{2}\equiv(21)^{\text}{2}\pmod{100}"" display=""block"">   <apply>     <equivalent/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <apply>           <times/>           <apply>             <csymbol cd=""ambiguous"">superscript</csymbol>             <cn type=""integer"">11</cn>             <mtext>\text</mtext>           </apply>           <cn type=""integer"">2</cn>         </apply>         <mtext>\text</mtext>       </apply>       <cn type=""integer"">2</cn>     </apply>     <apply>       <csymbol cd=""latexml"">annotated</csymbol>       <apply>         <times/>         <apply>           <csymbol cd=""ambiguous"">superscript</csymbol>           <cn type=""integer"">21</cn>           <mtext>\text</mtext>         </apply>         <cn type=""integer"">2</cn>       </apply>       <apply>         <ci>pmod</ci>         <cn type=""integer"">100</cn>       </apply>     </apply>   </apply> </math> "
q_36	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{4}\equiv 441\pmod{100}"" display=""block"">   <apply>     <equivalent/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <cn type=""integer"">11</cn>         <mtext>\text</mtext>       </apply>       <cn type=""integer"">4</cn>     </apply>     <apply>       <csymbol cd=""latexml"">annotated</csymbol>       <cn type=""integer"">441</cn>       <apply>         <ci>pmod</ci>         <cn type=""integer"">100</cn>       </apply>     </apply>   </apply> </math> "
q_37	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{4}\equiv 41\pmod{100}"" display=""block"">   <apply>     <equivalent/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <cn type=""integer"">11</cn>         <mtext>\text</mtext>       </apply>       <cn type=""integer"">4</cn>     </apply>     <apply>       <csymbol cd=""latexml"">annotated</csymbol>       <cn type=""integer"">41</cn>       <apply>         <ci>pmod</ci>         <cn type=""integer"">100</cn>       </apply>     </apply>   </apply> </math> "
q_38	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""(11^{\text}{4})^{\text}{2}\equiv(41)^{\text}{2}\pmod{100}"" display=""block"">   <apply>     <equivalent/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <apply>           <times/>           <apply>             <csymbol cd=""ambiguous"">superscript</csymbol>             <cn type=""integer"">11</cn>             <mtext>\text</mtext>           </apply>           <cn type=""integer"">4</cn>         </apply>         <mtext>\text</mtext>       </apply>       <cn type=""integer"">2</cn>     </apply>     <apply>       <csymbol cd=""latexml"">annotated</csymbol>       <apply>         <times/>         <apply>           <csymbol cd=""ambiguous"">superscript</csymbol>           <cn type=""integer"">41</cn>           <mtext>\text</mtext>         </apply>         <cn type=""integer"">2</cn>       </apply>       <apply>         <ci>pmod</ci>         <cn type=""integer"">100</cn>       </apply>     </apply>   </apply> </math> "
q_39	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{8}\equiv 1681\pmod{100}"" display=""block"">   <apply>     <equivalent/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <cn type=""integer"">11</cn>         <mtext>\text</mtext>       </apply>       <cn type=""integer"">8</cn>     </apply>     <apply>       <csymbol cd=""latexml"">annotated</csymbol>       <cn type=""integer"">1681</cn>       <apply>         <ci>pmod</ci>         <cn type=""integer"">100</cn>       </apply>     </apply>   </apply> </math> "
q_40	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{8}\equiv 81\pmod{100}"" display=""block"">   <apply>     <equivalent/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <cn type=""integer"">11</cn>         <mtext>\text</mtext>       </apply>       <cn type=""integer"">8</cn>     </apply>     <apply>       <csymbol cd=""latexml"">annotated</csymbol>       <cn type=""integer"">81</cn>       <apply>         <ci>pmod</ci>         <cn type=""integer"">100</cn>       </apply>     </apply>   </apply> </math> "
q_41	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{8}×11^{\text}{2}\equiv(81×21)\pmod{100}"" display=""block"">   <apply>     <equivalent/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <cn type=""integer"">11</cn>         <mtext>\text</mtext>       </apply>       <cn type=""integer"">8</cn>       <ci>italic-Ã</ci>       <ci></ci>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <cn type=""integer"">11</cn>         <mtext>\text</mtext>       </apply>       <cn type=""integer"">2</cn>     </apply>     <apply>       <csymbol cd=""latexml"">annotated</csymbol>       <apply>         <times/>         <cn type=""integer"">81</cn>         <ci>italic-Ã</ci>         <ci></ci>         <cn type=""integer"">21</cn>       </apply>       <apply>         <ci>pmod</ci>         <cn type=""integer"">100</cn>       </apply>     </apply>   </apply> </math> "
q_42	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{10}\equiv 1701\pmod{100}\implies 11^{\text}{10}\equiv 1\pmod{100}"" display=""block"">   <cerror>     <csymbol cd=""ambiguous"">fragments</csymbol>     <apply>       <csymbol cd=""ambiguous"">superscript</csymbol>       <cn type=""integer"">11</cn>       <mtext>\text</mtext>     </apply>     <cn type=""integer"">10</cn>     <equivalent/>     <cn type=""integer"">1701</cn>     <apply>       <ci>pmod</ci>       <cn type=""integer"">100</cn>     </apply>     <mtext>\implies</mtext>     <apply>       <csymbol cd=""ambiguous"">superscript</csymbol>       <cn type=""integer"">11</cn>       <mtext>\text</mtext>     </apply>     <cn type=""integer"">10</cn>     <equivalent/>     <cn type=""integer"">1</cn>     <apply>       <ci>pmod</ci>       <cn type=""integer"">100</cn>     </apply>   </cerror> </math> "
q_43	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{10}-1\equiv(1-1)\pmod{100}\implies 11^{\text}{10}-1\equiv 0\pmod{100}"" display=""block"">   <cerror>     <csymbol cd=""ambiguous"">fragments</csymbol>     <apply>       <csymbol cd=""ambiguous"">superscript</csymbol>       <cn type=""integer"">11</cn>       <mtext>\text</mtext>     </apply>     <cn type=""integer"">10</cn>     <minus/>     <cn type=""integer"">1</cn>     <equivalent/>     <cerror>       <csymbol cd=""ambiguous"">fragments</csymbol>       <ci>(</ci>       <cn type=""integer"">1</cn>       <minus/>       <cn type=""integer"">1</cn>       <ci>)</ci>     </cerror>     <apply>       <ci>pmod</ci>       <cn type=""integer"">100</cn>     </apply>     <mtext>\implies</mtext>     <apply>       <csymbol cd=""ambiguous"">superscript</csymbol>       <cn type=""integer"">11</cn>       <mtext>\text</mtext>     </apply>     <cn type=""integer"">10</cn>     <minus/>     <cn type=""integer"">1</cn>     <equivalent/>     <cn type=""integer"">0</cn>     <apply>       <ci>pmod</ci>       <cn type=""integer"">100</cn>     </apply>   </cerror> </math> "
q_44	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x"" display=""block"">   <ci>𝑥</ci> </math> "
q_45	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x=0"" display=""block"">   <apply>     <eq/>     <ci>𝑥</ci>     <cn type=""integer"">0</cn>   </apply> </math> "
q_46	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{10}-1"" display=""block"">   <apply>     <minus/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <cn type=""integer"">11</cn>         <mtext>\text</mtext>       </apply>       <cn type=""integer"">10</cn>     </apply>     <cn type=""integer"">1</cn>   </apply> </math> "
q_47	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""100"" display=""block"">   <cn type=""integer"">100</cn> </math> "
q_48	A.8	3142655	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\lim_{n\rightarrow\infty}\sqrt[n]{\frac{(27)^{n}(n!)^{3}}{(3n)!}}"" display=""block"">   <apply>     <apply>       <csymbol cd=""ambiguous"">subscript</csymbol>       <limit/>       <apply>         <ci>→</ci>         <ci>𝑛</ci>         <infinity/>       </apply>     </apply>     <apply>       <root/>       <degree>         <ci>𝑛</ci>       </degree>       <apply>         <divide/>         <apply>           <times/>           <apply>             <csymbol cd=""ambiguous"">superscript</csymbol>             <cn type=""integer"">27</cn>             <ci>𝑛</ci>           </apply>           <apply>             <csymbol cd=""ambiguous"">superscript</csymbol>             <apply>               <factorial/>               <ci>𝑛</ci>             </apply>             <cn type=""integer"">3</cn>           </apply>         </apply>         <apply>           <factorial/>           <apply>             <times/>             <cn type=""integer"">3</cn>             <ci>𝑛</ci>           </apply>         </apply>       </apply>     </apply>   </apply> </math> "
q_49	A.8	3142655	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\lim_{n\rightarrow\infty}\sqrt[n]{\frac{(27)^{n}(n!)^{3}}{(3n)!}}"" display=""block"">   <apply>     <apply>       <csymbol cd=""ambiguous"">subscript</csymbol>       <limit/>       <apply>         <ci>→</ci>         <ci>𝑛</ci>         <infinity/>       </apply>     </apply>     <apply>       <root/>       <degree>         <ci>𝑛</ci>       </degree>       <apply>         <divide/>         <apply>           <times/>           <apply>             <csymbol cd=""ambiguous"">superscript</csymbol>             <cn type=""integer"">27</cn>             <ci>𝑛</ci>           </apply>           <apply>             <csymbol cd=""ambiguous"">superscript</csymbol>             <apply>               <factorial/>               <ci>𝑛</ci>             </apply>             <cn type=""integer"">3</cn>           </apply>         </apply>         <apply>           <factorial/>           <apply>             <times/>             <cn type=""integer"">3</cn>             <ci>𝑛</ci>           </apply>         </apply>       </apply>     </apply>   </apply> </math> "
q_50	A.8	3142655	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\displaystyle l=\lim_{n\rightarrow\infty}\bigg{(}\frac{(27)^{n}(n!)^{3}}{(3n)!%&#10;}\bigg{)}^{\frac{1}{n}}"" display=""block"">   <apply>     <eq/>     <ci>𝑙</ci>     <apply>       <apply>         <csymbol cd=""ambiguous"">subscript</csymbol>         <limit/>         <apply>           <ci>→</ci>           <ci>𝑛</ci>           <infinity/>         </apply>       </apply>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <apply>           <divide/>           <apply>             <times/>             <apply>               <csymbol cd=""ambiguous"">superscript</csymbol>               <cn type=""integer"">27</cn>               <ci>𝑛</ci>             </apply>             <apply>               <csymbol cd=""ambiguous"">superscript</csymbol>               <apply>                 <factorial/>                 <ci>𝑛</ci>               </apply>               <cn type=""integer"">3</cn>             </apply>           </apply>           <apply>             <factorial/>             <apply>               <times/>               <cn type=""integer"">3</cn>               <ci>𝑛</ci>             </apply>           </apply>         </apply>         <apply>           <divide/>           <cn type=""integer"">1</cn>           <ci>𝑛</ci>         </apply>       </apply>     </apply>   </apply> </math> "
q_51	A.8	3142655	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\displaystyle\ln(l)=\lim_{n\rightarrow\infty}\frac{1}{n}\bigg{[}n\ln(27)+3\ln(%&#10;n!)-\ln((3n)!)\bigg{]}"" display=""block"">   <apply>     <eq/>     <apply>       <ln/>       <ci>𝑙</ci>     </apply>     <apply>       <apply>         <csymbol cd=""ambiguous"">subscript</csymbol>         <limit/>         <apply>           <ci>→</ci>           <ci>𝑛</ci>           <infinity/>         </apply>       </apply>       <apply>         <times/>         <apply>           <divide/>           <cn type=""integer"">1</cn>           <ci>𝑛</ci>         </apply>         <apply>           <csymbol cd=""latexml"">delimited-[]</csymbol>           <apply>             <minus/>             <apply>               <plus/>               <apply>                 <times/>                 <ci>𝑛</ci>                 <apply>                   <ln/>                   <cn type=""integer"">27</cn>                 </apply>               </apply>               <apply>                 <times/>                 <cn type=""integer"">3</cn>                 <apply>                   <ln/>                   <apply>                     <factorial/>                     <ci>𝑛</ci>                   </apply>                 </apply>               </apply>             </apply>             <apply>               <ln/>               <apply>                 <factorial/>                 <apply>                   <times/>                   <cn type=""integer"">3</cn>                   <ci>𝑛</ci>                 </apply>               </apply>             </apply>           </apply>         </apply>       </apply>     </apply>   </apply> </math> "
